frac_migration1  frac_migration2  logmhcrit  prob1  prob2  ssfr1  ssfr2  lnprob
0.2249  0.7762  12.5907  0.8287  0.3551  -10.8669  -9.0275  -0.1403
0.5475  0.0774  12.6680  0.8562  0.8987  -11.3567  -9.7989  -0.2014
0.4672  0.6165  12.6545  0.0765  0.3874  -11.0782  -9.9416  -0.0749
0.9277  0.8450  12.3207  0.6113  0.2146  -10.9936  -9.2325  -0.0319
0.1000  0.1034  12.3067  0.5457  0.7706  -11.0052  -9.3065  -0.1385
0.5672  0.8026  12.3300  0.3090  0.9582  -10.9910  -9.4665  -0.2519
0.7259  0.5038  12.4896  0.2811  0.9518  -11.0440  -9.9655  -0.3524
0.2434  0.9553  12.4065  0.0987  0.9140  -11.0042  -9.3577  -0.1169
0.3430  0.0894  12.3511  0.7382  0.1967  -10.9663  -9.9967  -0.1630
0.8215  0.5646  12.5637  0.2155  0.4438  -11.0942  -9.2141  -0.1148
0.4060  0.6177  12.7143  0.6972  0.7749  -10.8357  -9.2591  -0.0772
0.6579  0.9108  12.3107  0.4652  0.3532  -10.7412  -9.0698  -0.0470
0.7605  0.7608  12.2785  0.6561  0.1547  -11.0150  -9.2395  -0.0646
0.2817  0.9617  12.6282  0.0151  0.5338  -10.8221  -9.6149  -0.1203
0.2921  0.7523  12.5876  0.7596  0.3651  -10.8925  -9.0485  -0.1191
0.5475  0.0774  12.6680  0.8562  0.8987  -11.3567  -9.7989  -0.2014
0.4672  0.6165  12.6545  0.0765  0.3874  -11.0782  -9.9416  -0.0749
0.9277  0.8450  12.3207  0.6113  0.2146  -10.9936  -9.2325  -0.0319
0.2150  0.2179  12.3018  0.5649  0.6633  -11.0069  -9.2948  -0.1328
0.5672  0.8026  12.3300  0.3090  0.9582  -10.9910  -9.4665  -0.2519
0.7259  0.5038  12.4896  0.2811  0.9518  -11.0440  -9.9655  -0.3524
0.2434  0.9553  12.4065  0.0987  0.9140  -11.0042  -9.3577  -0.1169
0.3514  0.1251  12.3716  0.6934  0.2096  -10.9739  -9.9930  -0.1497
0.8215  0.5646  12.5637  0.2155  0.4438  -11.0942  -9.2141  -0.1148
0.3736  0.6292  12.7371  0.7393  0.7570  -10.8146  -9.1876  -0.0751
0.6579  0.9108  12.3107  0.4652  0.3532  -10.7412  -9.0698  -0.0470
0.8182  0.8182  12.2760  0.6658  0.1010  -11.0158  -9.2336  -0.1106
0.2817  0.9617  12.6282  0.0151  0.5338  -10.8221  -9.6149  -0.1203
0.2921  0.7523  12.5876  0.7596  0.3651  -10.8925  -9.0485  -0.1191
0.5475  0.0774  12.6680  0.8562  0.8987  -11.3567  -9.7989  -0.2014
0.4672  0.6165  12.6545  0.0765  0.3874  -11.0782  -9.9416  -0.0749
0.9277  0.8450  12.3207  0.6113  0.2146  -10.9936  -9.2325  -0.0319
0.3072  0.2706  12.3416  0.5118  0.6299  -11.0202  -9.2825  -0.1089
0.5672  0.8026  12.3300  0.3090  0.9582  -10.9910  -9.4665  -0.2519
0.7259  0.5038  12.4896  0.2811  0.9518  -11.0440  -9.9655  -0.3524
0.1769  0.9660  12.4149  0.0489  0.9819  -11.0052  -9.3698  -0.1472
0.3514  0.1251  12.3716  0.6934  0.2096  -10.9739  -9.9930  -0.1497
0.8611  0.5588  12.5535  0.2311  0.4501  -11.0960  -9.1327  -0.1333
0.3707  0.6338  12.7316  0.7401  0.7426  -10.8175  -9.1825  -0.0766
